time,x
5.445445,2.391589
5.455455,2.391386
5.465465,2.390942
5.475475,2.390258
5.485485,2.389333
5.495495,2.388168
5.505506,2.386761
5.515516,2.385112
5.525526,2.383221
5.535536,2.381088
5.545546,2.378712
5.555556,2.376094
5.565566,2.373233
5.575576,2.370129
5.585586,2.366781
5.595596,2.363190
5.605606,2.359356
5.615616,2.355278
5.625626,2.350957
5.635636,2.346392
5.645646,2.341584
5.655656,2.336532
5.665666,2.331237
5.675676,2.325698
5.685686,2.319916
5.695696,2.313891
5.705706,2.307622
5.715716,2.301112
5.725726,2.294358
5.735736,2.287362
5.745746,2.280124
5.755756,2.272644
5.765766,2.264922
5.775776,2.256960
5.785786,2.248756
5.795796,2.240312
5.805806,2.231628
5.815816,2.222704
5.825826,2.213541
5.835836,2.204139
5.845846,2.194499
5.855856,2.184622
5.865866,2.174507
5.875876,2.164156
5.885886,2.153568
5.895896,2.142745
5.905906,2.131688
5.915916,2.120397
5.925926,2.108872
5.935936,2.097114
5.945946,2.085125
5.955956,2.072905
5.965966,2.060454
5.975976,2.047774
5.985986,2.034866
5.995996,2.021729
6.006006,2.008366
6.016016,1.994777
6.026026,1.980963
6.036036,1.966925
6.046046,1.952663
6.056056,1.938180
6.066066,1.923476
6.076076,1.908552
6.086086,1.893409
6.096096,1.878048
6.106106,1.862471
6.116116,1.846678
6.126126,1.830671
6.136136,1.814452
6.146146,1.798020
6.156156,1.781377
6.166166,1.764526
6.176176,1.747466
6.186186,1.730200
6.196196,1.712728
6.206206,1.695053
6.216216,1.677175
6.226226,1.659095
6.236236,1.640816
6.246246,1.622339
6.256256,1.603665
6.266266,1.584795
6.276276,1.565732
6.286286,1.546476
6.296296,1.527030
6.306306,1.507395
6.316316,1.487572
6.326326,1.467563
6.336336,1.447371
6.346346,1.426995
6.356356,1.406439
6.366366,1.385703
6.376376,1.364791
6.386386,1.343702
6.396396,1.322440
6.406406,1.301005
6.416416,1.279401
6.426426,1.257627
6.436436,1.235688
6.446446,1.213583
6.456456,1.191316
6.466466,1.168888
6.476476,1.146301
6.486486,1.123556
6.496496,1.100657
6.506507,1.077605
6.516517,1.054402
6.526527,1.031049
6.536537,1.007550
6.546547,0.983906
6.556557,0.960119
6.566567,0.936191
6.576577,0.912124
6.586587,0.887922
6.596597,0.863584
6.606607,0.839115
6.616617,0.814516
6.626627,0.789788
6.636637,0.764936
6.646647,0.739960
6.656657,0.714863
6.666667,0.689647
6.676677,0.664314
6.686687,0.638868
6.696697,0.613309
6.706707,0.587641
6.716717,0.561866
6.726727,0.535986
6.736737,0.510003
6.746747,0.483920
6.756757,0.457740
6.766767,0.431464
6.776777,0.405096
6.786787,0.378637
6.796797,0.352090
6.806807,0.325457
6.816817,0.298742
6.826827,0.271946
6.836837,0.245073
6.846847,0.218124
6.856857,0.191102
6.866867,0.164009
6.876877,0.136849
6.886887,0.109624
6.896897,0.082336
6.906907,0.054988
6.916917,0.027582
6.926927,0.000122
6.936937,-0.027390
6.946947,-0.054952
6.956957,-0.082561
6.966967,-0.110214
6.976977,-0.137909
6.986987,-0.165643
6.996997,-0.193412
7.007007,-0.221215
7.017017,-0.249050
7.027027,-0.276912
7.037037,-0.304799
7.047047,-0.332709
7.057057,-0.360639
7.067067,-0.388587
7.077077,-0.416548
7.087087,-0.444521
7.097097,-0.472504
7.107107,-0.500492
7.117117,-0.528484
7.127127,-0.556476
7.137137,-0.584466
7.147147,-0.612451
7.157157,-0.640428
7.167167,-0.668394
7.177177,-0.696348
7.187187,-0.724284
7.197197,-0.752202
7.207207,-0.780098
7.217217,-0.807970
7.227227,-0.835813
7.237237,-0.863627
7.247247,-0.891407
7.257257,-0.919151
7.267267,-0.946856
7.277277,-0.974520
7.287287,-1.002139
7.297297,-1.029711
7.307307,-1.057233
7.317317,-1.084701
7.327327,-1.112114
7.337337,-1.139468
7.347347,-1.166760
7.357357,-1.193988
7.367367,-1.221148
7.377377,-1.248239
7.387387,-1.275256
7.397397,-1.302198
7.407407,-1.329061
7.417417,-1.355843
7.427427,-1.382540
7.437437,-1.409151
7.447447,-1.435671
7.457457,-1.462098
7.467467,-1.488430
7.477477,-1.514664
7.487487,-1.540796
7.497497,-1.566825
7.507508,-1.592746
7.517518,-1.618558
7.527528,-1.644258
7.537538,-1.669842
7.547548,-1.695308
7.557558,-1.720654
7.567568,-1.745876
7.577578,-1.770972
7.587588,-1.795938
7.597598,-1.820773
7.607608,-1.845474
7.617618,-1.870037
7.627628,-1.894460
7.637638,-1.918741
7.647648,-1.942876
7.657658,-1.966863
7.667668,-1.990699
7.677678,-2.014382
7.687688,-2.037909
7.697698,-2.061277
7.707708,-2.084483
7.717718,-2.107525
7.727728,-2.130401
7.737738,-2.153107
7.747748,-2.175642
7.757758,-2.198002
7.767768,-2.220185
7.777778,-2.242188
7.787788,-2.264009
7.797798,-2.285645
7.807808,-2.307094
7.817818,-2.328354
7.827828,-2.349421
7.837838,-2.370293
7.847848,-2.390968
7.857858,-2.411443
7.867868,-2.431716
7.877878,-2.451785
7.887888,-2.471646
7.897898,-2.491299
7.907908,-2.510739
